,Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjVolume,divCash,splitFactor
45,45,,2015-07-30 00:00:00+00:00,122.37,122.5699,121.71,122.32,33628268,112.7668186,33628268,0.0,1.0
46,46,,2015-07-31 00:00:00+00:00,121.3,122.6425,120.91,122.6,42884953,111.7807886,42884953,0.0,1.0
47,47,,2015-08-03 00:00:00+00:00,118.44,122.57,117.52,121.5,69975968,109.1452317,69975968,0.0,1.0
48,48,,2015-08-04 00:00:00+00:00,114.64,117.7,113.25,117.42,124138623,105.6434427,124138623,0.0,1.0
49,49,,2015-08-05 00:00:00+00:00,115.4,117.44,112.1,112.95,98384461,106.3438005,98384461,0.0,1.0
50,50,,2015-08-06 00:00:00+00:00,115.13,116.5,114.115,115.97,52903040,106.5741814,52903040,0.52,1.0
51,51,AAPL,2015-08-07 00:00:00+00:00,115.52,116.25,114.5,114.58,38670405,106.9351987,38670405,0.0,1.0
52,52,AAPL,2015-08-10 00:00:00+00:00,119.72,119.99,116.53,116.53,54951597,110.8230782,54951597,0.0,1.0
53,53,AAPL,2015-08-11 00:00:00+00:00,113.49,118.18,113.33,117.81,97082814,105.056057,97082814,0.0,1.0
54,54,AAPL,2015-08-12 00:00:00+00:00,115.24,115.42,109.63,112.53,101685610,106.6760068,101685610,0.0,1.0
55,55,AAPL,2015-08-13 00:00:00+00:00,115.15,116.4,114.54,116.04,48535789,106.5926951,48535789,0.0,1.0
56,56,AAPL,2015-08-14 00:00:00+00:00,115.96,116.31,114.01,114.32,42929516,107.3425004,42929516,0.0,1.0
57,57,AAPL,2015-08-17 00:00:00+00:00,117.16,117.65,115.5,116.04,40884745,108.4533231,40884745,0.0,1.0
58,58,AAPL,2015-08-18 00:00:00+00:00,116.5,117.44,116.01,116.43,34560708,107.8423706,34560708,0.0,1.0
59,59,AAPL,2015-08-19 00:00:00+00:00,115.01,116.52,114.68,116.1,48286510,106.4630991,48286510,0.0,1.0
60,60,AAPL,2015-08-20 00:00:00+00:00,112.65,114.35,111.63,114.08,68501622,104.2784811,68501622,0.0,1.0
61,61,AAPL,2015-08-21 00:00:00+00:00,105.76,111.9,105.645,110.43,128275471,97.90050744,128275471,0.0,1.0
62,62,AAPL,2015-08-24 00:00:00+00:00,103.12,108.8,92.0,94.87,162206292,95.45669749,162206292,0.0,1.0
63,63,AAPL,2015-08-25 00:00:00+00:00,103.74,111.11,103.5,111.11,103601599,96.03062256,103601599,0.0,1.0
64,64,AAPL,2015-08-26 00:00:00+00:00,109.69,109.89,105.05,107.085,96774611,101.5384518,96774611,0.0,1.0
65,65,AAPL,2015-08-27 00:00:00+00:00,112.92,113.24,110.02,112.25,84616056,104.5284162,84616056,0.0,1.0
66,66,AAPL,2015-08-28 00:00:00+00:00,113.29,113.31,111.54,112.17,53164407,104.8709199,53164407,0.0,1.0
67,67,AAPL,2015-08-31 00:00:00+00:00,112.76,114.53,112.0,112.13,56229271,104.3803065,56229271,0.0,1.0
68,68,AAPL,2015-09-01 00:00:00+00:00,107.72,111.88,107.36,110.18,76845860,99.71485118,76845860,0.0,1.0
69,69,AAPL,2015-09-02 00:00:00+00:00,112.34,112.34,109.131,110.0,61888812,103.9915186,61888812,0.0,1.0
70,70,AAPL,2015-09-03 00:00:00+00:00,110.37,112.78,110.04,112.49,53233940,102.167918,53233940,0.0,1.0
71,71,AAPL,2015-09-04 00:00:00+00:00,109.27,110.45,108.51,108.97,49996311,101.1496638,49996311,0.0,1.0
72,72,AAPL,2015-09-08 00:00:00+00:00,112.31,112.56,110.32,111.65,54843626,103.963748,54843626,0.0,1.0
73,73,AAPL,2015-09-09 00:00:00+00:00,110.15,114.02,109.77,113.76,85010804,101.9642672,85010804,0.0,1.0
74,74,AAPL,2015-09-10 00:00:00+00:00,112.57,113.2825,109.9,110.27,62892831,104.2044263,62892831,0.0,1.0
75,75,AAPL,2015-09-11 00:00:00+00:00,114.21,114.21,111.76,111.79,49915473,105.7225506,49915473,0.0,1.0
76,76,AAPL,2015-09-14 00:00:00+00:00,115.31,116.89,114.86,116.58,58363431,106.7408048,58363431,0.0,1.0
77,77,AAPL,2015-09-15 00:00:00+00:00,116.28,116.53,114.42,115.93,43341155,107.6387198,43341155,0.0,1.0
78,78,AAPL,2015-09-16 00:00:00+00:00,116.41,116.54,115.44,116.25,37173489,107.7590589,37173489,0.0,1.0
79,79,AAPL,2015-09-17 00:00:00+00:00,113.92,116.49,113.715,115.66,64112641,105.4541018,64112641,0.0,1.0
80,80,AAPL,2015-09-18 00:00:00+00:00,113.45,114.3,111.87,112.21,74285291,105.0190296,74285291,0.0,1.0
81,81,AAPL,2015-09-21 00:00:00+00:00,115.21,115.37,113.66,113.67,50221965,106.6482362,50221965,0.0,1.0
82,82,AAPL,2015-09-22 00:00:00+00:00,113.4,114.18,112.5201,113.38,50346159,104.9727453,50346159,0.0,1.0
83,83,AAPL,2015-09-23 00:00:00+00:00,114.32,114.72,113.3,113.63,35756716,105.824376,35756716,0.0,1.0
84,84,AAPL,2015-09-24 00:00:00+00:00,115.0,115.5,112.37,113.25,50219475,106.4538422,50219475,0.0,1.0
